Family,Genus
Andrenidae,Andrena
Andrenidae,Calliopsis
Andrenidae,Panurginus
Andrenidae,Perdita
Andrenidae,Protandrena
Andrenidae,Pseudopanurgus
Apidae,Anthophora
Apidae,Anthophorula
Apidae,Apis
Apidae,Biastes
Apidae,Bombus
Apidae,Brachymelecta
Apidae,Centris
Apidae,Ceratina
Apidae,Diadasia
Apidae,Epeolus
Apidae,Epimelissodes
Apidae,Eucera
Apidae,Habropoda
Apidae,Holcopasites
Apidae,Melecta
Apidae,Melissodes
Apidae,Neolarra
Apidae,Neopasites
Apidae,Nomada
Apidae,Oreopasites
Apidae,Peponapis
Apidae,Svastra
Apidae,Triepeolus
Apidae,Xenoglossodes
Apidae,Xeromelecta
Apidae,Xylocopa
Apidae,Zacosmia
Colletidae,Colletes
Colletidae,Hylaeus
Halictidae,Agapostemon
Halictidae,Dufourea
Halictidae,Halictus
Halictidae,Lasioglossum
Halictidae,Micralictoides
Halictidae,Nomia
Halictidae,Sphecodes
Megachilidae,Anthidiellum
Megachilidae,Anthidium
Megachilidae,Ashmeadiella
Megachilidae,Atoposmia
Megachilidae,Chelostoma
Megachilidae,Coelioxys
Megachilidae,Dianthidium
Megachilidae,Dioxys
Megachilidae,Heriades
Megachilidae,Hoplitis
Megachilidae,Megachile
Megachilidae,Osmia
Megachilidae,Protosmia
Megachilidae,Pseudoanthidium
Megachilidae,Stelis
Megachilidae,Trachusa
Melittidae,Hesperapis
Melittidae,Macropis
